date,open,high,low,close,volume
2026-06-01,6949.1,6973.1,6921.1,6955.8,2106
2026-06-02,6967.0,6976.4,6924.8,6952.3,2115
2026-06-03,6949.5,6979.5,6931.0,6960.9,2030
2026-06-04,6961.0,7011.6,6931.7,7003.1,2256
2026-06-05,6995.2,7014.4,6972.1,6985.6,2244
2026-06-08,6989.1,7018.5,6913.1,6942.4,2790
2026-06-09,6923.1,6954.8,6910.5,6930.5,2515
2026-06-10,6924.0,6935.9,6915.5,6924.2,2706
2026-06-11,6908.3,6915.5,6874.3,6899.1,2101
2026-06-12,6885.9,6902.1,6875.1,6895.7,2796
2026-06-15,6895.0,6967.0,6883.8,6949.6,2762
2026-06-16,6938.5,6966.9,6923.5,6928.8,2525
2026-06-17,6935.1,6969.4,6908.0,6943.2,2176
2026-06-18,6934.6,7004.3,6912.2,6983.7,2776
2026-06-19,6998.1,7050.9,6983.0,7025.4,2779
2026-06-22,7031.3,7072.4,7017.9,7066.2,2397
2026-06-23,7070.0,7078.7,7034.2,7058.7,2687
2026-06-24,7071.0,7090.7,7040.9,7066.1,2196
2026-06-25,7060.1,7132.3,7045.8,7109.0,2258
2026-06-26,7116.7,7130.6,7019.7,7043.2,2765
2026-06-29,7052.3,7108.4,7046.8,7097.1,2093
2026-06-30,7102.7,7152.2,7078.4,7129.3,2515
2026-07-01,7127.5,7161.8,7105.7,7146.3,2123
2026-07-02,7150.0,7176.0,7125.8,7157.3,2414
2026-07-03,7171.0,7213.1,7156.4,7195.3,2694
2026-07-06,7192.8,7213.3,7161.1,7178.0,2200
2026-07-07,7186.0,7193.2,7179.7,7186.3,2343
2026-07-08,7181.7,7208.4,7120.0,7143.5,2560
2026-07-09,7142.6,7160.2,7123.6,7144.7,2612
2026-07-10,7146.6,7169.8,7123.3,7148.9,2675
2026-07-13,7146.3,7230.6,7122.4,7206.7,2597
2026-07-14,7205.2,7233.2,7170.4,7176.3,2283
2026-07-15,7188.5,7213.1,7171.0,7200.5,2345
2026-07-16,7202.5,7220.6,7141.8,7154.5,2422
2026-07-17,7160.9,7176.1,7119.6,7135.7,2313
2026-07-20,7138.2,7191.1,7114.7,7172.6,2190
2026-07-21,7178.8,7210.9,7156.8,7183.3,2008
2026-07-22,7170.8,7213.8,7154.5,7202.7,2289
2026-07-23,7205.5,7217.8,7179.0,7206.1,2130
2026-07-24,7221.5,7245.2,7098.7,7127.6,2068
2026-07-27,7147.1,7172.7,7125.2,7135.7,2293
2026-07-28,7130.3,7138.6,7109.1,7124.7,2026
2026-07-29,7127.6,7134.2,7097.8,7126.7,2784
2026-07-30,7126.7,7134.0,7084.4,7101.9,2802
2026-07-31,7102.0,7121.8,7074.4,7114.5,2738
2026-08-03,7106.2,7156.6,7082.4,7131.1,2556
2026-08-04,7134.4,7140.4,7110.4,7117.8,2121
2026-08-05,7117.3,7144.5,7109.2,7115.1,2766
2026-08-06,7116.1,7124.7,7082.2,7088.8,2349
2026-08-07,7095.3,7139.9,7066.5,7121.4,2312
2026-08-10,7113.7,7121.2,7066.1,7094.3,2781
2026-08-11,7094.3,7120.3,7078.5,7111.0,2236
2026-08-12,7098.1,7128.6,7074.3,7107.1,2642
2026-08-13,7103.4,7137.7,7087.5,7109.5,2594
2026-08-14,7105.0,7112.1,7095.2,7107.1,2734
2026-08-17,7089.9,7160.6,7074.8,7143.5,2103
2026-08-18,7140.1,7175.0,7113.2,7157.8,2718
2026-08-19,7168.0,7181.6,7149.0,7170.1,2247
2026-08-20,7167.3,7191.3,7134.7,7154.3,2386
2026-08-21,7153.3,7171.2,7122.6,7151.3,2793
